,measurement_id,process_id,row_type,stdv,time,unit,value,source
0,vcd,cultivation1,measurement,587838600.0,0.0,cells/L,927856700.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
1,vcd,cultivation1,measurement,587838600.0,24.0,cells/L,1286083100.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
2,vcd,cultivation1,measurement,587838600.0,48.0,cells/L,1798827100.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
3,vcd,cultivation1,measurement,587838600.0,72.0,cells/L,2541119000.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
4,vcd,cultivation1,measurement,587838600.0,96.0,cells/L,3649022700.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
5,vcd,cultivation1,measurement,587838600.0,120.0,cells/L,4851278000.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
6,vcd,cultivation1,measurement,587838600.0,144.0,cells/L,5936687600.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
7,vcd,cultivation1,measurement,587838600.0,168.0,cells/L,7095892500.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
8,vcd,cultivation1,measurement,587838600.0,192.0,cells/L,8017564000.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
9,vcd,cultivation1,measurement,587838600.0,216.0,cells/L,8370433000.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
10,vcd,cultivation1,measurement,587838600.0,240.0,cells/L,9324755000.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
11,vcd,cultivation1,measurement,587838600.0,264.0,cells/L,10086929000.0,/home/jovyan/workspace/notebook-examples-lfs/tests/workshop/generated_test_data/results/biomass_related_data.csv.gz
